source,target,score
827,19392,24.52
827,19291,24.52
827,5559,24.53
827,20009,24.58
827,25812,24.6
827,5265,24.61
827,20674,24.66
827,11732,24.66
827,8331,24.7
827,22718,24.71
827,16722,24.72
856,1670,21.2
856,10241,21.27
856,24003,21.54
856,7115,21.78
856,19349,21.87
856,23775,21.89
856,1538,22.08
856,12617,22.16
856,5412,22.17
856,8627,22.34
856,11019,22.35
856,18994,22.35
856,13009,22.42
856,23456,22.72
856,13602,22.79
856,22203,22.87
856,19489,22.91
856,17650,23.0
856,20624,23.08
856,12094,23.09
856,22191,23.11
856,5263,23.12
856,19340,23.13
856,21112,23.23
856,2108,23.24
856,1710,23.31
856,23270,23.33
856,7329,23.35
856,3079,23.39
856,13044,23.4
856,16464,23.42
856,10815,23.43
856,11407,23.47
856,25382,23.48
856,13080,23.51
856,3592,23.52
856,15927,23.53
856,19663,23.54
856,24114,23.55
856,21391,23.63
856,18856,23.65
856,16492,23.69
856,14863,23.71
856,2792,23.71
856,21687,23.76
856,23993,23.84
856,12201,23.84
856,19413,23.87
856,1839,23.87
856,15679,23.89
856,18997,23.92
856,5994,23.94
856,11364,23.95
856,1486,24.04
856,24504,24.08
856,5536,24.13
856,23385,24.16
856,4508,24.2
856,3316,24.2
856,20234,24.23
856,8404,24.23
856,11835,24.24
856,18293,24.27
856,20289,24.28
856,6063,24.36
856,3990,24.37
856,19436,24.38
856,19846,24.4
856,3504,24.41
856,2662,24.42
856,4688,24.42
856,25716,24.43
856,25860,24.44
856,8758,24.45
856,11403,24.47
856,20730,24.47
856,3871,24.5
856,10688,24.5
856,13837,24.52
856,24284,24.52
856,1593,24.53
856,7678,24.53
856,13843,24.54
856,10668,24.58
856,11606,24.61
856,25611,24.67
856,3218,24.69
856,17798,24.69
856,4736,24.72
856,15873,24.72
856,14559,24.72
868,11367,22.51
868,13016,22.75
868,15321,23.19
868,1532,23.32
868,5896,23.4
868,22576,23.49
868,14266,23.59
868,23793,23.6
868,13393,23.65
868,5323,23.67
868,14411,23.68
868,13204,23.69
868,20058,23.71
868,19692,23.72
868,2979,23.79
868,8161,23.84
868,18696,23.91
868,15813,23.99
868,7264,24.05
868,11434,24.06
868,16011,24.06
868,4422,24.07
868,6999,24.11
868,15264,24.11
868,19931,24.16
868,2701,24.26
868,2592,24.28
868,14624,24.3
868,17938,24.3
868,2645,24.32
868,18705,24.33
868,14656,24.33
